datehour,count
2011060108,512
2011060113,182
2011060114,493
2011060115,123
2011060116,97
2011060117,973
2011060118,980
2011060119,599
2011060120,187
2011060121,317
2011060122,340
2011060123,264
2011060200,333
2011060201,214
2011060202,440
2011060203,59
2011060207,4
2011060208,217
2011060209,684
2011060210,258
2011060211,290
2011060212,294
2011060213,1726
2011060214,104
2011060215,476
2011060216,101
2011060217,51
2011060218,400
2011060219,1128
2011060220,1414
2011060221,197
2011060222,157
2011060223,811
2011060300,591
2011060301,536
2011060302,580
2011060303,935
2011060304,1482
2011060305,1172
2011060306,3580
2011060307,8432
2011060308,4002
2011060309,1509
2011060310,1044
2011060311,3829
2011060312,1297
2011060313,428
2011060314,170
2011060315,177
2011060316,184
2011060317,2502
2011060318,2293
2011060319,1566
2011060320,41
2011060515,1347
2011060516,3112
2011060517,3396
2011060518,2723
2011060519,1032
2011060520,5242
2011060521,4245
2011060522,1821
2011060523,888
2011060600,2483
2011060601,1827
2011060602,2705
2011060603,2012
2011060604,601
2011060605,803
2011060606,1455
2011060607,2567
2011060608,1497
2011060609,1698
2011060610,1764
2011060611,3700
2011060612,849
2011060613,213
2011060614,277
2011060615,15
2011060616,34
2011060617,247
2011060618,910
2011060619,3203
2011060620,1857
2011060621,1303
2011060622,755
2011060623,1031
2011060700,423
2011060701,376
2011060702,224
2011060703,351
2011060704,64
2011060705,173
2011060706,140
2011060707,1229
2011060708,2235
2011060709,2214
2011060710,2012
2011060716,402
2011060717,72
2011060718,67
2011060719,419
2011060720,1862
2011060721,125
2011060722,119
2011060723,467
2011060800,243
2011060801,216
2011060802,184
2011060803,635
2011060804,313
2011060805,211
2011060806,13
2011060807,234
2011060808,755
2011060815,24
2011060816,361
2011060817,841
2011060818,231
2011060819,53
2011060820,953
2011060821,225
2011060822,96
2011060823,69
2011060900,34
2011060901,495
2011060902,312
2011060903,736
2011060904,101
2011060905,327
2011060906,50
2011060907,22
2011060908,8
2011060909,215
2011060910,128
2011060911,125
2011060912,559
2011060913,137
2011060914,25
2011060915,131
2011060916,16
2011060917,12
2011060918,1
2011060919,1
2011060920,42
2011060921,31
2011060922,80
2011060923,164
2011061000,148
2011061001,179
2011061002,91
2011061003,109
2011061004,102
2011061005,108
2011061006,241
